Date ,Time ,WU311,WU312,WU314,WU321,WU322,WU323
2-Jun-25,4:12:25 AM,160.1556549,185.8106384,119.1569443,137.6783447,193.8651123,173.2166138
2-Jun-25,4:12:55 AM,160.3761444,185.551239,119.3774338,138.2360687,193.3203735,173.6186829
2-Jun-25,4:13:25 AM,160.0259399,185.3307495,119.8703003,139.2218018,193.2944336,174.020752
2-Jun-25,4:13:55 AM,160.129715,185.09729,120.4150467,139.559021,193.0350189,174.5265961
2-Jun-25,4:14:23 AM,159.8573303,184.8767853,120.7263336,139.9092102,192.8923492,175.2788696
2-Jun-25,4:14:54 AM,160.2594147,184.3450165,121.6342468,140.4409943,192.7237396,175.9662781
2-Jun-25,4:15:26 AM,159.8573303,184.1764069,122.1919632,141.4526672,192.2438507,176.3164825
2-Jun-25,4:15:55 AM,160.0389099,183.9299622,122.5681,141.6601868,192.0233459,176.8482513
2-Jun-25,4:16:25 AM,160.0907898,183.981842,122.7756195,142.1919708,191.9584961,177.120636
2-Jun-25,4:16:54 AM,160.0907898,183.8391724,123.1387863,142.6070099,192.0363159,178.1582489
2-Jun-25,4:17:25 AM,159.9740601,184.3968964,124.1245193,142.9701691,191.4656372,178.5862579
2-Jun-25,4:17:55 AM,160.1945648,184.3968964,124.539566,143.5019531,191.4396973,178.9494171
2-Jun-25,4:18:26 AM,160.4539642,184.5136261,124.9027252,144.3579865,191.2840576,179.2218018
2-Jun-25,4:18:55 AM,160.1037598,184.7081757,125.1751022,144.8508453,191.4267273,179.8443604
2-Jun-25,4:19:25 AM,160.1167297,184.9156952,125.6809387,145.1361847,191.2321777,180.9208832
2-Jun-25,4:19:55 AM,160.0389099,185.7068787,126.4591522,145.4734192,191.4396973,181.3359375
2-Jun-25,4:20:25 AM,160.1556549,185.5901489,126.9649887,145.992218,191.115448,181.6861267
2-Jun-25,4:20:57 AM,160.129715,185.8754883,127.3151779,146.7834015,191.2321777,182.2049408
2-Jun-25,4:21:25 AM,160.3112946,186.2775726,127.8469543,147.1984558,191.0376129,182.7367096
2-Jun-25,4:21:54 AM,160.544754,186.3683624,128.1841736,147.6134949,191.0635681,183.4760132
2-Jun-25,4:22:24 AM,160.3112946,186.2646027,128.988327,148.0933838,190.8949432,183.8521423
2-Jun-25,4:22:55 AM,160.4020844,186.3035126,129.2607117,148.4695282,191.0635681,184.098587
2-Jun-25,4:23:23 AM,160.3112946,186.4591522,129.7795105,149.3125916,191.0246429,184.6044159
2-Jun-25,4:23:55 AM,160.5058441,185.9014282,130.01297,149.5330811,190.8430634,185.0583649
2-Jun-25,4:24:25 AM,160.4409943,186.1478729,130.544754,150.1296997,190.8690033,185.538269
2-Jun-25,4:24:55 AM,160.2464447,185.9403381,131.1154327,150.7133636,190.7393036,186.5110321
2-Jun-25,4:25:25 AM,160.129715,185.5252991,131.4007874,151.1802979,190.8300934,186.6407318
2-Jun-25,4:25:54 AM,160.5188141,185.4604492,131.997406,151.6601868,190.998703,187.003891
2-Jun-25,4:26:25 AM,160.0778198,185.11026,132.2697906,152.1400757,190.8690033,187.5875549
2-Jun-25,4:26:54 AM,160.2205048,185.1362,132.6848297,152.4254303,190.5317841,187.9507141
2-Jun-25,4:27:25 AM,160.3112946,184.8249054,133.3333435,152.7107697,190.7393036,188.6640778
2-Jun-25,4:27:57 AM,160.1167297,184.578476,133.6186829,153.0868988,190.8430634,189.0272369
2-Jun-25,4:28:25 AM,160.1556549,184.6562958,134.1763916,153.8391724,190.4280243,189.2866516
2-Jun-25,4:28:57 AM,160.3631744,184.3320465,134.4876862,154.0985718,190.6485138,189.5979309
2-Jun-25,4:29:24 AM,160.4280243,184.6303558,134.6692657,154.3968964,190.3372345,189.8313904
2-Jun-25,4:29:55 AM,160.4409943,184.4098663,135.1232147,154.8508453,190.4020844,190.1556549
2-Jun-25,4:30:23 AM,160.0907898,184.4617462,135.8495483,155.0843048,190.5058441,190.6744537
2-Jun-25,4:30:55 AM,160.1556549,184.111557,136.0959778,156.018158,190.5966339,190.7522736
2-Jun-25,4:31:26 AM,160.1037598,184.4358063,136.549942,156.3424225,190.4409943,190.8560333
2-Jun-25,4:31:54 AM,160.2723846,184.5265961,136.6796417,156.6147919,190.6614838,190.9597931
2-Jun-25,4:32:24 AM,160.3242645,184.7211456,137.1465607,156.8093414,190.9079132,191.2321777
2-Jun-25,4:32:56 AM,160.4539642,184.7211456,137.8080444,157.133606,190.7393036,191.1673279
2-Jun-25,4:33:25 AM,160.6096039,185.2658997,138.1452637,157.8728943,190.8171234,191.2710876
2-Jun-25,4:33:56 AM,160.2334747,185.1621399,138.5343781,158.3138885,190.5058441,190.7911835
2-Jun-25,4:34:25 AM,160.3761444,185.2529297,138.7937775,158.5214081,190.5966339,191.2062378
2-Jun-25,4:34:55 AM,160.129715,185.5252991,139.5330811,158.9364471,190.6096039,190.7911835
2-Jun-25,4:35:23 AM,160.1815948,185.4993591,139.9481201,159.2866516,190.7003937,191.1413879
2-Jun-25,4:35:55 AM,160.0907898,185.7717285,140.2723846,159.8832703,190.2464447,190.7652435
2-Jun-25,4:36:24 AM,160.5058441,185.538269,140.557724,160.3372345,190.2983246,190.8171234
2-Jun-25,4:36:55 AM,160.2464447,185.6549988,141.1673126,160.6225739,190.5058441,190.6096039
2-Jun-25,4:37:24 AM,160.0907898,185.5901489,141.4007874,160.8690033,190.3891144,190.6225739
2-Jun-25,4:37:54 AM,160.3372345,185.7328186,141.8547363,161.1802979,190.3242645,190.4669342
2-Jun-25,4:38:25 AM,160.3502045,185.3826294,142.1141357,161.6342468,190.3891144,190.1945648
2-Jun-25,4:38:53 AM,160,185.7198486,142.6848297,162.2438507,190.3372345,190.2334747
2-Jun-25,4:39:25 AM,160.3242645,185.7976685,142.5681,162.5291901,190.3891144,189.9481201
2-Jun-25,4:39:56 AM,160.1945648,185.4085693,143.4111633,162.7237396,190.116745,190.0389099
2-Jun-25,4:40:25 AM,160.3112946,185.8236084,143.5149231,163.1777039,190.0908051,189.2996216
2-Jun-25,4:40:56 AM,160.0648499,185.4085693,143.994812,163.3333435,190.0908051,188.6770477
2-Jun-25,4:41:25 AM,159.9351501,185.6809387,144.1115417,164.1764069,190.0778351,188.132309
2-Jun-25,4:41:55 AM,160.0648499,185.3826294,144.3709564,164.4358063,189.8573303,187.7950745
2-Jun-25,4:42:23 AM,160.1686249,185.7328186,144.6562958,164.8767853,189.8703003,187.3800354
2-Jun-25,4:42:54 AM,160.1556549,185.7328186,145.3437195,164.9156952,189.8054504,186.6796417
2-Jun-25,4:43:25 AM,159.9221802,185.7846985,145.5252991,165.3048096,189.8184204,185.7198486
2-Jun-25,4:43:54 AM,160.0389099,185.7328186,146.0570679,165.9533081,190,185.4345093
2-Jun-25,4:44:25 AM,159.9481201,185.7717285,146.0959778,166.2905426,189.9481201,185.3696594
